,name,xmin,ymin,xmax,ymax
0,person,3.0465424060821533e-05,0.5259348551432291,1.0,1.0
1,car,0.0,0.5300865809122721,1.0,1.0
2,traffic_light,0.22653963565826415,0.20737198193868,0.9982780456542969,0.597698465983073
3,bicycle,0.0017074823379516601,0.6379453023274739,0.9946540832519531,0.9978679021199545
4,truck,0.0,0.23778079350789388,1.0,1.0
5,parking meter,0.052110600471496585,0.7164962768554688,0.9998332977294921,0.9985182444254558
6,backpack,0.5714457035064697,0.7967685063680013,0.9580268859863281,0.9202975591023763
7,bus,0.0017816781997680663,0.5464848836263021,0.9708044052124023,0.9988042831420898
8,fire hydrant,0.2565213918685913,0.6313339233398437,0.8103376388549804,0.9993324279785156
9,motorcycle,0.001504969596862793,0.5938994089762369,0.9608647346496582,1.0
10,bench,0.5572725772857666,0.6351941426595052,0.5986509799957276,0.6801984151204427
11,dog,0.23603930473327636,0.8120218912760416,0.26651535034179685,0.8491163889567057
12,potted plant,0.5294355869293212,0.603613535563151,0.5626094341278076,0.6801102956136068
13,umbrella,0.8551274299621582,0.5495414733886719,0.9023731231689454,0.5898293177286784
14,boat,0.6071254253387451,0.8978073120117187,0.7929721355438233,0.9978271484375
15,train,0.6117803573608398,0.736886723836263,0.9020633697509766,0.9267396291097005
16,handbag,0.43555512428283694,0.8192273457845052,0.5187122821807861,0.8747571309407552
17,clock,0.7734241485595703,0.9318702061971028,0.8103131294250489,0.9949345270792643
